Time_ms	C1 Voltage_mV
-5.004664E-1	5.961250E+1
-4.878664E-1	5.955000E+1
-4.752664E-1	5.998750E+1
-4.626664E-1	5.948750E+1
-4.500664E-1	5.967500E+1
-4.374664E-1	5.973750E+1
-4.248664E-1	5.973750E+1
-4.122664E-1	5.923750E+1
-3.996664E-1	5.967500E+1
-3.870664E-1	5.898750E+1
-3.744664E-1	5.936250E+1
-3.618664E-1	5.930000E+1
-3.492664E-1	5.923750E+1
-3.366664E-1	5.930000E+1
-3.240664E-1	5.961250E+1
-3.114664E-1	5.948750E+1
-2.988664E-1	5.942500E+1
-2.862664E-1	5.898750E+1
-2.736664E-1	5.986250E+1
-2.610664E-1	6.055000E+1
-2.484664E-1	6.023750E+1
-2.358664E-1	6.048750E+1
-2.232664E-1	6.061250E+1
-2.106664E-1	6.092500E+1
-1.980664E-1	6.092500E+1
-1.854664E-1	6.105000E+1
-1.728664E-1	6.105000E+1
-1.602664E-1	6.098750E+1
-1.476664E-1	6.067500E+1
-1.350664E-1	6.048750E+1
-1.224664E-1	6.073750E+1
-1.098664E-1	6.086250E+1
-9.726639E-2	6.148750E+1
-8.466639E-2	6.180000E+1
-7.206638E-2	6.173750E+1
-5.946638E-2	6.173750E+1
-4.686638E-2	6.167500E+1
-3.426638E-2	6.155000E+1
-2.166638E-2	6.098750E+1
-9.066384E-3	6.167500E+1
3.533616E-3	6.180000E+1
1.613362E-2	6.192500E+1
2.873362E-2	6.186250E+1
4.133362E-2	6.198750E+1
5.393362E-2	6.205000E+1
6.653362E-2	6.192500E+1
7.913362E-2	6.111250E+1
9.173362E-2	6.123750E+1
1.043336E-1	6.073750E+1
1.169336E-1	6.080000E+1
1.295336E-1	6.123750E+1
1.421336E-1	6.086250E+1
1.547336E-1	6.030000E+1
1.673336E-1	6.067500E+1
1.799336E-1	6.136250E+1
1.925336E-1	6.073750E+1
2.051336E-1	6.055000E+1
2.177336E-1	6.061250E+1
2.303336E-1	6.073750E+1
2.429336E-1	6.061250E+1
2.555336E-1	6.098750E+1
2.681336E-1	6.148750E+1
2.807336E-1	6.167500E+1
2.933336E-1	6.161250E+1
3.059336E-1	6.198750E+1
3.185336E-1	6.198750E+1
3.311336E-1	6.217500E+1
3.437336E-1	6.155000E+1
3.563336E-1	6.167500E+1
3.689336E-1	6.073750E+1
3.815336E-1	6.011250E+1
3.941336E-1	5.948750E+1
4.067336E-1	5.873750E+1
4.193336E-1	5.905000E+1
4.319336E-1	5.880000E+1
4.445336E-1	5.873750E+1
4.571336E-1	5.848750E+1
4.697336E-1	5.811250E+1
4.823336E-1	5.830000E+1
4.949336E-1	5.886250E+1
5.075336E-1	5.936250E+1
5.201336E-1	5.967500E+1
5.327336E-1	5.986250E+1
5.453336E-1	5.942500E+1
5.579336E-1	5.948750E+1
5.705336E-1	5.905000E+1
5.831336E-1	5.948750E+1
5.957336E-1	6.011250E+1
6.083336E-1	6.048750E+1
6.209336E-1	6.023750E+1
6.335336E-1	5.980000E+1
6.461336E-1	6.011250E+1
6.587336E-1	6.048750E+1
6.713336E-1	6.017500E+1
6.839336E-1	5.992500E+1
6.965336E-1	6.011250E+1
7.091336E-1	6.048750E+1
7.217336E-1	6.048750E+1
7.343336E-1	6.048750E+1
7.469336E-1	6.030000E+1
7.595336E-1	5.967500E+1
7.721336E-1	5.948750E+1
7.847336E-1	5.898750E+1
7.973336E-1	5.948750E+1
8.099336E-1	5.936250E+1
8.225336E-1	6.011250E+1
8.351336E-1	6.048750E+1
8.477336E-1	6.086250E+1
8.603336E-1	6.098750E+1
8.729336E-1	6.142500E+1
8.855336E-1	6.086250E+1
8.981336E-1	6.086250E+1
9.107336E-1	6.061250E+1
9.233336E-1	6.086250E+1
9.359336E-1	6.036250E+1
9.485336E-1	6.117500E+1
9.611336E-1	6.048750E+1
9.737336E-1	5.992500E+1
9.863336E-1	5.992500E+1
9.989336E-1	6.017500E+1
1.011534E+0	6.023750E+1
1.024134E+0	6.011250E+1
