Time_µs	C1 Voltage_mV
-1.000938E+1	-1.562500E+1
-9.985380E+0	1.562500E+1
-9.961380E+0	-3.125000E+1
-9.937380E+0	-1.562500E+1
-9.913380E+0	0.000000E+0
-9.889380E+0	3.125000E+1
-9.865380E+0	-1.562500E+1
-9.841380E+0	-1.562500E+1
-9.817380E+0	1.562500E+1
-9.793380E+0	0.000000E+0
-9.769380E+0	1.562500E+1
-9.745380E+0	-1.562500E+1
-9.721380E+0	1.562500E+1
-9.697380E+0	-1.562500E+1
-9.673380E+0	-1.562500E+1
-9.649380E+0	1.562500E+1
-9.625380E+0	0.000000E+0
-9.601380E+0	1.562500E+1
-9.577380E+0	-1.562500E+1
-9.553380E+0	1.562500E+1
-9.529380E+0	1.562500E+1
-9.505380E+0	-1.562500E+1
-9.481380E+0	-1.562500E+1
-9.457380E+0	1.562500E+1
-9.433380E+0	0.000000E+0
-9.409380E+0	-1.562500E+1
-9.385380E+0	1.562500E+1
-9.361380E+0	-1.562500E+1
-9.337380E+0	0.000000E+0
-9.313380E+0	-1.562500E+1
-9.289380E+0	-1.562500E+1
-9.265380E+0	1.562500E+1
-9.241380E+0	1.562500E+1
-9.217380E+0	1.562500E+1
-9.193380E+0	-1.562500E+1
-9.169380E+0	1.562500E+1
-9.145380E+0	0.000000E+0
-9.121380E+0	0.000000E+0
-9.097380E+0	1.562500E+1
-9.073380E+0	0.000000E+0
-9.049380E+0	-1.562500E+1
-9.025380E+0	1.562500E+1
-9.001380E+0	0.000000E+0
-8.977380E+0	1.562500E+1
-8.953380E+0	1.562500E+1
-8.929380E+0	-3.125000E+1
-8.905380E+0	0.000000E+0
-8.881380E+0	1.562500E+1
-8.857380E+0	-1.562500E+1
-8.833380E+0	-1.562500E+1
-8.809380E+0	-1.562500E+1
-8.785380E+0	1.562500E+1
-8.761380E+0	1.562500E+1
-8.737380E+0	1.562500E+1
-8.713380E+0	0.000000E+0
-8.689380E+0	0.000000E+0
-8.665380E+0	0.000000E+0
-8.641380E+0	1.562500E+1
-8.617380E+0	1.562500E+1
-8.593380E+0	-1.562500E+1
-8.569380E+0	-1.562500E+1
-8.545380E+0	1.562500E+1
-8.521380E+0	0.000000E+0
-8.497380E+0	-1.562500E+1
-8.473380E+0	3.125000E+1
-8.449380E+0	1.562500E+1
-8.425380E+0	1.562500E+1
-8.401380E+0	0.000000E+0
-8.377380E+0	1.562500E+1
-8.353380E+0	0.000000E+0
-8.329380E+0	0.000000E+0
-8.305380E+0	0.000000E+0
-8.281380E+0	1.562500E+1
-8.257380E+0	1.562500E+1
-8.233380E+0	1.562500E+1
-8.209380E+0	-1.562500E+1
-8.185380E+0	1.562500E+1
-8.161380E+0	0.000000E+0
-8.137380E+0	0.000000E+0
-8.113380E+0	0.000000E+0
-8.089380E+0	-1.562500E+1
-8.065380E+0	3.125000E+1
-8.041380E+0	-1.562500E+1
-8.017380E+0	-1.562500E+1
-7.993380E+0	1.562500E+1
-7.969380E+0	1.562500E+1
-7.945380E+0	1.562500E+1
-7.921380E+0	0.000000E+0
-7.897380E+0	-1.562500E+1
-7.873380E+0	0.000000E+0
-7.849380E+0	1.562500E+1
-7.825380E+0	1.562500E+1
-7.801380E+0	0.000000E+0
-7.777380E+0	-1.562500E+1
-7.753380E+0	1.562500E+1
-7.729380E+0	-1.562500E+1
-7.705380E+0	1.562500E+1
-7.681380E+0	4.687500E+1
-7.657380E+0	1.562500E+1
-7.633380E+0	1.562500E+1
-7.609380E+0	1.562500E+1
-7.585380E+0	1.562500E+1
-7.561380E+0	1.562500E+1
-7.537380E+0	-1.562500E+1
-7.513380E+0	1.562500E+1
-7.489380E+0	3.125000E+1
-7.465380E+0	0.000000E+0
-7.441380E+0	0.000000E+0
-7.417380E+0	1.562500E+1
-7.393380E+0	1.562500E+1
-7.369380E+0	1.562500E+1
-7.345380E+0	1.562500E+1
-7.321380E+0	0.000000E+0
-7.297380E+0	4.687500E+1
-7.273380E+0	-1.562500E+1
-7.249380E+0	1.562500E+1
-7.225380E+0	3.125000E+1
-7.201380E+0	0.000000E+0
-7.177380E+0	1.562500E+1
-7.153380E+0	-1.562500E+1
-7.129380E+0	1.562500E+1
-7.105380E+0	1.562500E+1
-7.081380E+0	-1.562500E+1
-7.057380E+0	1.562500E+1
-7.033380E+0	1.562500E+1
-7.009380E+0	0.000000E+0
-6.985380E+0	0.000000E+0
-6.961380E+0	1.562500E+1
-6.937380E+0	1.562500E+1
-6.913380E+0	1.562500E+1
-6.889380E+0	1.562500E+1
-6.865380E+0	1.562500E+1
-6.841380E+0	0.000000E+0
-6.817380E+0	0.000000E+0
-6.793380E+0	-1.562500E+1
-6.769380E+0	-3.125000E+1
-6.745380E+0	-1.562500E+1
-6.721380E+0	1.562500E+1
-6.697380E+0	3.125000E+1
-6.673380E+0	3.125000E+1
-6.649380E+0	3.125000E+1
-6.625380E+0	0.000000E+0
-6.601380E+0	-1.562500E+1
-6.577380E+0	-1.562500E+1
-6.553380E+0	-1.562500E+1
-6.529380E+0	1.562500E+1
-6.505380E+0	1.562500E+1
-6.481380E+0	-1.562500E+1
-6.457380E+0	1.562500E+1
-6.433380E+0	-1.562500E+1
-6.409380E+0	0.000000E+0
-6.385380E+0	-3.125000E+1
-6.361380E+0	0.000000E+0
-6.337380E+0	0.000000E+0
-6.313380E+0	3.125000E+1
-6.289380E+0	0.000000E+0
-6.265380E+0	0.000000E+0
-6.241380E+0	-1.562500E+1
-6.217380E+0	1.562500E+1
-6.193380E+0	0.000000E+0
-6.169380E+0	0.000000E+0
-6.145380E+0	1.562500E+1
-6.121380E+0	1.562500E+1
-6.097380E+0	0.000000E+0
-6.073380E+0	3.125000E+1
-6.049380E+0	1.562500E+1
-6.025380E+0	0.000000E+0
-6.001380E+0	0.000000E+0
-5.977380E+0	1.562500E+1
-5.953380E+0	3.125000E+1
-5.929380E+0	0.000000E+0
-5.905380E+0	1.562500E+1
-5.881380E+0	1.562500E+1
-5.857380E+0	-1.562500E+1
-5.833380E+0	3.125000E+1
-5.809380E+0	0.000000E+0
-5.785380E+0	1.562500E+1
-5.761380E+0	-1.562500E+1
-5.737380E+0	1.562500E+1
-5.713380E+0	0.000000E+0
-5.689380E+0	0.000000E+0
-5.665380E+0	0.000000E+0
-5.641380E+0	-1.562500E+1
-5.617380E+0	-3.125000E+1
-5.593380E+0	0.000000E+0
-5.569380E+0	1.562500E+1
-5.545380E+0	1.562500E+1
-5.521380E+0	1.562500E+1
-5.497380E+0	1.562500E+1
-5.473380E+0	0.000000E+0
-5.449380E+0	0.000000E+0
-5.425380E+0	1.562500E+1
-5.401380E+0	0.000000E+0
-5.377380E+0	3.125000E+1
-5.353380E+0	3.125000E+1
-5.329380E+0	-1.562500E+1
-5.305380E+0	3.125000E+1
-5.281380E+0	-1.562500E+1
-5.257380E+0	1.562500E+1
-5.233380E+0	1.562500E+1
-5.209380E+0	0.000000E+0
-5.185380E+0	3.125000E+1
-5.161380E+0	0.000000E+0
-5.137380E+0	1.562500E+1
-5.113380E+0	1.562500E+1
-5.089380E+0	1.562500E+1
-5.065380E+0	0.000000E+0
-5.041380E+0	-1.562500E+1
-5.017380E+0	0.000000E+0
-4.993380E+0	3.125000E+1
-4.969380E+0	1.562500E+1
-4.945380E+0	1.562500E+1
-4.921380E+0	1.562500E+1
-4.897380E+0	3.125000E+1
