Time_ms	C1 Voltage_mV
-5.003985E+0	2.250001E+0
-4.877985E+0	2.250001E+0
-4.751985E+0	1.937501E+0
-4.625985E+0	1.937501E+0
-4.499985E+0	1.937501E+0
-4.373985E+0	2.562501E+0
-4.247985E+0	2.562501E+0
-4.121985E+0	1.937501E+0
-3.995985E+0	2.562501E+0
-3.869985E+0	1.937501E+0
-3.743985E+0	2.562501E+0
-3.617985E+0	2.562501E+0
-3.491985E+0	2.250001E+0
-3.365985E+0	2.250001E+0
-3.239985E+0	2.562501E+0
-3.113985E+0	1.625001E+0
-2.987985E+0	2.562501E+0
-2.861985E+0	1.937501E+0
-2.735985E+0	2.562501E+0
-2.609985E+0	2.562501E+0
-2.483985E+0	1.937501E+0
-2.357985E+0	2.250001E+0
-2.231985E+0	1.937501E+0
-2.105985E+0	1.937501E+0
-1.979985E+0	1.937501E+0
-1.853985E+0	1.625001E+0
-1.727985E+0	2.875001E+0
-1.601985E+0	1.625001E+0
-1.475985E+0	1.937501E+0
-1.349985E+0	1.937501E+0
-1.223985E+0	1.312501E+0
-1.097985E+0	1.937501E+0
-9.719854E-1	2.250001E+0
-8.459854E-1	2.562501E+0
-7.199854E-1	2.562501E+0
-5.939854E-1	2.562501E+0
-4.679854E-1	1.937501E+0
-3.419854E-1	1.937501E+0
-2.159854E-1	2.562501E+0
-8.998539E-2	1.937501E+0
3.601461E-2	1.937501E+0
1.620146E-1	2.250001E+0
2.880146E-1	2.562501E+0
4.140146E-1	2.875001E+0
5.400146E-1	2.250001E+0
6.660146E-1	1.937501E+0
7.920146E-1	1.937501E+0
9.180146E-1	1.937501E+0
1.044015E+0	2.250001E+0
1.170015E+0	1.937501E+0
1.296015E+0	1.937501E+0
1.422015E+0	1.937501E+0
1.548015E+0	1.312501E+0
1.674015E+0	2.562501E+0
1.800015E+0	1.937501E+0
1.926015E+0	2.250001E+0
2.052015E+0	1.625001E+0
2.178015E+0	2.250001E+0
2.304015E+0	1.937501E+0
2.430015E+0	1.937501E+0
2.556015E+0	1.937501E+0
2.682015E+0	1.312501E+0
2.808015E+0	1.625001E+0
2.934015E+0	1.625001E+0
3.060015E+0	1.937501E+0
3.186015E+0	2.562501E+0
3.312015E+0	1.937501E+0
3.438015E+0	2.250001E+0
3.564015E+0	2.562501E+0
3.690015E+0	1.937501E+0
3.816015E+0	2.250001E+0
3.942015E+0	2.875001E+0
4.068015E+0	1.937501E+0
4.194015E+0	2.250001E+0
4.320015E+0	2.562501E+0
4.446015E+0	1.625001E+0
4.572015E+0	1.937501E+0
4.698015E+0	1.625001E+0
4.824015E+0	2.562501E+0
4.950015E+0	2.562501E+0
5.076015E+0	1.937501E+0
5.202015E+0	2.562501E+0
5.328015E+0	2.250001E+0
5.454015E+0	1.937501E+0
5.580015E+0	2.562501E+0
5.706015E+0	1.937501E+0
5.832015E+0	2.250001E+0
5.958015E+0	2.875001E+0
6.084015E+0	2.250001E+0
6.210015E+0	2.250001E+0
6.336015E+0	1.937501E+0
6.462015E+0	1.625001E+0
6.588015E+0	2.562501E+0
6.714015E+0	1.937501E+0
6.840015E+0	2.562501E+0
6.966015E+0	2.562501E+0
7.092015E+0	2.250001E+0
7.218015E+0	2.250001E+0
7.344015E+0	1.937501E+0
7.470015E+0	2.250001E+0
7.596015E+0	1.625001E+0
7.722015E+0	1.937501E+0
7.848015E+0	2.562501E+0
7.974015E+0	1.625001E+0
8.100015E+0	2.562501E+0
8.226015E+0	2.250001E+0
8.352015E+0	2.562501E+0
8.478015E+0	1.625001E+0
8.604015E+0	2.250001E+0
8.730015E+0	1.625001E+0
8.856015E+0	1.937501E+0
8.982015E+0	1.937501E+0
9.108015E+0	2.562501E+0
9.234015E+0	2.250001E+0
9.360015E+0	1.937501E+0
9.486015E+0	1.937501E+0
9.612015E+0	1.937501E+0
9.738015E+0	1.625001E+0
9.864015E+0	2.562501E+0
9.990015E+0	1.937501E+0
1.011601E+1	2.250001E+0
1.024201E+1	1.937501E+0
1.036801E+1	2.562501E+0
1.049401E+1	1.937501E+0
1.062001E+1	2.562501E+0
1.074601E+1	2.250001E+0
1.087201E+1	1.937501E+0
1.099801E+1	2.250001E+0
1.112401E+1	2.875001E+0
1.125001E+1	2.562501E+0
1.137601E+1	1.937501E+0
1.150201E+1	2.875001E+0
1.162801E+1	1.937501E+0
1.175401E+1	1.937501E+0
1.188001E+1	1.937501E+0
1.200601E+1	1.937501E+0
1.213201E+1	2.250001E+0
1.225801E+1	1.625001E+0
1.238401E+1	1.937501E+0
1.251001E+1	1.937501E+0
1.263601E+1	1.625001E+0
1.276201E+1	2.250001E+0
1.288801E+1	1.625001E+0
1.301401E+1	1.937501E+0
1.314001E+1	2.250001E+0
1.326601E+1	2.250001E+0
1.339201E+1	1.937501E+0
1.351801E+1	2.250001E+0
1.364401E+1	1.937501E+0
1.377001E+1	2.250001E+0
1.389601E+1	2.562501E+0
1.402201E+1	1.625001E+0
1.414801E+1	1.937501E+0
1.427401E+1	2.250001E+0
